Domain,Registrar,Creation_Date,Update_Date,SSL_Issuer,SSL_TTL,A_Record,NumOfIPs,TXTRecord,SPF,MX,DKIM,DMARC,AS,HTTP_Status,Server,Content,Entropy,Vowel_Ratio,Consonant_Ratio,Numerical_Ratio,Special_Char_Ratio,Vowel_Sequence,Consonant_Sequence,Numerical_Sequence,Special_Char_Sequence,Is_Unicode,Levenshtein_Distance,Location,Class
tesco.sk,MarkMonitor International Limited,4,2,"Entrust, Inc.",58,23.218.63.28,1,1,1,1,1,1,16625,0,None,None,2.75,0.25,0.62,0.0,0.0,1,2,0,0,False,1,United States,0
robi.sk,"WebHouse, s.r.o.",4,3,None,51,86.110.243.51,1,1,1,1,0,1,29405,200,Apache,text/html; charset=utf-8,2.81,0.29,0.57,0.0,0.0,1,2,0,0,False,1,Slovakia,0
hotelagro.sk,Websupport s.r.o.,4,3,Let's Encrypt,26,37.9.175.179,1,1,1,1,0,0,51013,200,openresty,text/html; charset=utf-8,3.42,0.33,0.58,0.0,0.0,1,2,0,0,False,1,Slovakia,0
stanicakosice.sk,Websupport s.r.o.,4,2,Let's Encrypt,36,86.110.243.228,1,1,1,1,0,0,29405,200,Apache,text/html; charset=UTF-8,3.2,0.38,0.56,0.0,0.0,1,2,0,0,False,1,Slovakia,0
benulekaren.sk,Websupport s.r.o.,4,3,Sectigo Limited,233,185.59.211.106,1,1,1,1,0,1,43541,200,nginx,text/html; charset=utf-8,3.18,0.36,0.57,0.0,0.0,1,2,0,0,False,1,Czechia,0
liptov.sk,"WebHouse, s.r.o.",4,1,Let's Encrypt,59,109.74.144.30,1,0,0,1,0,0,29405,200,nginx,text/html; charset=utf-8,3.17,0.22,0.67,0.0,0.0,1,2,0,0,False,1,Slovakia,0
topky.sk,"Zoznam, s.r.o.",4,3,Sectigo Limited,274,213.81.185.100,1,1,1,1,0,0,6855,200,cloudflare,text/html; charset=utf-8,2.75,0.25,0.62,0.0,0.0,1,2,0,0,False,1,Slovakia,0
newbalance.sk,Corporation Service Company (DBS) GmbH,4,4,Let's Encrypt,34,185.157.236.117,1,1,1,1,0,1,31242,200,envoy,text/html; charset=utf-8,3.24,0.31,0.62,0.0,0.0,1,2,0,0,False,1,Poland,0
bikepark.sk,ZONER s.r.o.,4,4,DigiCert Inc,74,217.198.116.173,1,0,0,0,0,0,34222,200,Apache/2.4.54 (Debian),text/html; charset=UTF-8,3.03,0.27,0.64,0.0,0.0,1,2,0,0,False,1,Czechia,0
bocy.sk,Websupport s.r.o.,4,3,Let's Encrypt,78,37.9.174.74,1,1,1,1,0,0,51013,200,nginx,text/html; charset=utf-8,2.81,0.29,0.57,0.0,0.0,1,2,0,0,False,1,Slovakia,0
standard.sk,Websupport s.r.o.,4,4,Google Trust Services,44,172.66.0.96,2,1,1,1,0,1,13335,200,cloudflare,text/html; charset=utf-8,2.91,0.18,0.73,0.0,0.0,1,2,0,0,False,1,Canada,0
hotelthermal.sk,Smartweb s.r.o.,4,3,Let's Encrypt,49,37.9.175.156,3,1,1,1,1,0,51013,200,openresty,text/html; charset=UTF-8,3.37,0.27,0.67,0.0,0.0,1,3,0,0,False,6,Slovakia,0
vssr.sk,"USR Services, s.r.o.",4,3,Let's Encrypt,65,188.244.63.64,1,1,1,1,0,0,25424,200,Microsoft-IIS/10.0,text/html; charset=utf-8,2.13,0.0,0.86,0.0,0.0,0,4,0,0,False,1,Czechia,0
dastan.sk,"Computer and Network Systems, spol. s r.o.",4,3,Let's Encrypt,68,5.75.227.142,1,1,1,1,1,1,24940,200,nginx,text/html; charset=utf-8,2.73,0.22,0.67,0.0,0.0,1,2,0,0,False,4,Germany,0
jalta.sk,Websupport s.r.o.,4,3,None,0,88.99.187.44,1,1,1,1,0,0,24940,503,Microsoft-IIS/10.0,text/html; charset=utf-8,2.75,0.25,0.62,0.0,0.0,1,2,0,0,False,4,Germany,0
relaxinn.sk,"Webglobe, a.s.",4,3,Let's Encrypt,21,195.181.248.68,1,1,1,1,1,1,48689,200,nginx,text/html; charset=UTF-8,3.28,0.27,0.64,0.0,0.0,1,2,0,0,False,6,Slovakia,0
hotelelizabeth.sk,DELNET s.r.o.,4,3,Google Trust Services,87,104.21.48.1,7,1,1,1,0,1,13335,200,cloudflare,text/html; charset=utf-8,3.45,0.35,0.59,0.0,0.0,1,2,0,0,False,1,Canada,0
banderium.sk,"INTERNET CZ, a.s.",4,3,Actalis S.p.A.,25,81.2.195.254,1,1,1,1,0,0,24806,200,Apache,text/html; charset=UTF-8,3.58,0.33,0.58,0.0,0.0,2,2,0,0,False,6,Czechia,0
nsm.sk,"ELBIA, s. r. o.",4,3,Let's Encrypt,35,37.9.175.187,1,1,1,1,0,0,51013,200,openresty,text/html; charset=UTF-8,2.25,0.0,0.83,0.0,0.0,0,3,0,0,False,1,Slovakia,0
hotelsteve.sk,NETIM,3,3,Google Trust Services,52,104.21.80.1,7,0,0,0,0,0,13335,200,cloudflare,text/html,3.03,0.31,0.62,0.0,0.0,1,3,0,0,False,5,Canada,0
skalica.sk,"Webglobe, a.s.",4,3,DigiCert Inc,303,88.86.102.9,1,1,1,1,1,1,39392,200,Microsoft-IIS/8.5,text/html; charset=UTF-8,2.72,0.3,0.6,0.0,0.0,1,2,0,0,False,5,Czechia,0
portalvs.sk,"Webglobe, a.s.",4,3,Sectigo Limited,145,194.160.4.101,1,1,1,1,0,0,2607,200,nginx,text/html; charset=utf-8,3.28,0.18,0.73,0.0,0.0,1,3,0,0,False,1,Slovakia,0
senec.sk,"SOFTNET plus, spol. s r.o.",4,3,Let's Encrypt,78,51.91.81.147,1,1,1,1,0,0,16276,200,None,text/html; charset=UTF-8,2.5,0.25,0.62,0.0,0.0,1,2,0,0,False,4,France,0
tvav.sk,"Webglobe, s.r.o.",4,3,None,0,62.168.118.227,1,1,1,1,0,1,5578,200,Microsoft-IIS/10.0,text/html,2.52,0.14,0.71,0.0,0.0,1,2,0,0,False,1,Slovakia,0
arkada.sk,"Webglobe, a.s.",4,3,Let's Encrypt,41,217.67.30.61,1,1,1,1,1,1,5578,200,nginx,text/html; charset=UTF-8,2.42,0.33,0.56,0.0,0.0,1,2,0,0,False,4,Slovakia,0
hotelosobita.sk,EuroNET Slovakia s.r.o.,4,3,Let's Encrypt,83,213.215.124.73,1,1,1,1,0,1,5578,200,Apache/2.4.63 (FreeBSD) OpenSSL/1.1.1w-freebsd mpm-itk/2.4.7-04 PHP/8.2.24,text/html; charset=UTF-8,3.32,0.4,0.53,0.0,0.0,1,2,0,0,False,1,Slovakia,0
puncovyurad.sk,"C&C Tech, s.r.o.",4,2,Let's Encrypt,36,109.74.145.54,1,1,1,1,0,0,29405,200,Apache/2.4.62 (Debian),text/html; charset=UTF-8,3.66,0.36,0.57,0.0,0.0,2,2,0,0,False,1,Slovakia,0
selce-cachovo.sk,"WebHouse, s.r.o.",4,2,None,110,46.229.230.45,1,1,1,1,0,1,29405,200,Apache,text/html,3.33,0.31,0.56,0.0,0.06,1,2,0,1,False,1,Slovakia,0
uvs.sk,"Comsultia, s.r.o.",4,3,Let's Encrypt,27,93.185.111.212,1,1,1,1,0,0,43541,200,nginx,text/html; charset=UTF-8,2.25,0.17,0.67,0.0,0.0,1,2,0,0,False,3,Czechia,0
financnasprava.sk,DataCentrum,4,2,DigiCert Inc,364,194.1.6.50,1,1,1,1,0,1,30898,200,None,text/html; charset=utf-8,3.22,0.29,0.65,0.0,0.0,1,3,0,0,False,10,Slovakia,0
teplice.sk,"WebHouse, s.r.o.",4,3,Let's Encrypt,56,82.119.224.201,1,1,1,1,0,1,5578,200,Apache,text/html; charset=utf-8,3.12,0.3,0.6,0.0,0.0,1,2,0,0,False,5,Slovakia,0
autoskolaalfa.sk,"WebHouse, s.r.o.",4,2,Let's Encrypt,57,37.9.175.157,1,1,1,1,0,0,51013,200,openresty,text/html; charset=UTF-8,3.0,0.44,0.5,0.0,0.0,2,2,0,0,False,1,Slovakia,0
klu-druzba.sk,"Proxis, spol. s r.o.",4,3,Let's Encrypt,33,81.162.93.3,1,1,1,1,1,0,57606,500,nginx,text/html,3.39,0.23,0.62,0.0,0.08,1,2,0,1,False,1,Slovakia,0
growni.sk,Websupport s.r.o.,4,3,Google Trust Services,58,151.101.1.195,2,1,1,1,0,0,54113,200,Google Frontend,text/html; charset=utf-8,3.17,0.22,0.67,0.0,0.0,1,2,0,0,False,1,United States,0
server.sk,Web Site Design s.r.o.,4,2,None,0,217.67.23.54,1,1,1,1,0,0,5578,503,Microsoft-HTTPAPI/2.0,text/html; charset=us-ascii,2.5,0.22,0.67,0.0,0.0,1,2,0,0,False,1,Slovakia,0
uvzsr.sk,"Slovanet, a. s.",4,2,DigiCert Inc,40,141.147.12.210,1,1,1,1,0,1,31898,0,None,None,2.75,0.12,0.75,0.0,0.0,1,4,0,0,False,1,Germany,0
hotel-west.sk,"ELBIA, s. r. o.",4,3,Let's Encrypt,66,46.229.237.100,1,1,1,1,0,1,29405,200,RANDOM,text/html,3.24,0.23,0.62,0.0,0.08,1,2,0,1,False,1,Slovakia,0
popradskepleso.sk,"Webglobe, a.s.",4,1,Let's Encrypt,72,37.9.175.156,1,1,1,1,0,0,51013,200,nginx,text/html; charset=UTF-8,3.18,0.29,0.65,0.0,0.0,1,3,0,0,False,1,Slovakia,0
neziskoveorganizacie.sk,"SWAN, a. s.",4,2,Let's Encrypt,43,86.110.225.104,1,0,0,0,0,0,29405,200,Apache,text/html; charset=ISO-8859-2,3.59,0.43,0.52,0.0,0.0,2,2,0,0,False,1,Slovakia,0
hoteljanosik.sk,Websupport s.r.o.,4,3,Let's Encrypt,13,37.9.175.133,1,1,1,1,1,0,51013,200,openresty,text/html; charset=UTF-8,3.51,0.33,0.6,0.0,0.0,1,2,0,0,False,1,Slovakia,0
www.studnicky.sk,EXO TECHNOLOGIES spol. s r.o.,4,3,Let's Encrypt,38,116.203.116.152,1,1,1,1,0,0,24940,200,nginx,text/html,3.33,0.19,0.69,0.0,0.0,1,3,0,0,False,1,Germany,0
hotelaston.sk,LAN Systems s.r.o.,4,3,Let's Encrypt,41,86.110.243.39,1,1,1,1,0,0,29405,200,Apache,text/html; charset=UTF-8,3.24,0.31,0.62,0.0,0.0,1,2,0,0,False,4,Slovakia,0
hotelmousson.sk,Websupport s.r.o.,4,3,Let's Encrypt,66,37.9.175.196,1,1,1,1,0,0,51013,200,openresty,text/html; charset=utf-8,3.27,0.33,0.6,0.0,0.0,2,2,0,0,False,6,Slovakia,0
autotrendy.sk,"Platon Technologies, s.r.o.",4,3,Let's Encrypt,27,85.248.228.151,1,1,1,1,0,0,5578,200,nginx,text/html; charset=UTF-8,3.55,0.38,0.54,0.0,0.0,2,2,0,0,False,1,Slovakia,0
e-vuc.sk,Websupport s.r.o.,4,1,DigiCert Inc,16,88.198.46.211,1,1,1,1,0,1,24940,200,nginx,text/html; charset=UTF-8,3.0,0.25,0.5,0.0,0.12,1,2,0,1,False,1,Germany,0
skrz.sk,"Webglobe, a.s.",4,3,None,0,138.201.24.148,1,0,0,1,0,0,24940,0,None,None,2.24,0.0,0.86,0.0,0.0,0,4,0,0,False,1,Germany,0
ski-gruniky.sk,Websupport s.r.o.,4,1,Let's Encrypt,38,185.175.85.22,1,1,1,1,0,0,44984,200,nginx/1.24.0,text/html; charset=UTF-8,3.18,0.29,0.57,0.0,0.07,1,2,0,1,False,1,Czechia,0
kosicezapad.sk,"WEBY GROUP, s.r.o.",4,3,Let's Encrypt,56,82.119.224.201,1,1,1,1,0,0,5578,200,Apache,text/html; charset=utf-8,3.38,0.36,0.57,0.0,0.0,1,2,0,0,False,8,Slovakia,0
oc-danubia.sk,"SEAL IT Services, s.r.o.",4,3,Let's Encrypt,62,85.248.216.117,1,1,1,1,0,1,5578,200,Apache,text/html; charset=UTF-8,3.55,0.38,0.46,0.0,0.08,2,2,0,1,False,1,Slovakia,0
zilina.sk,"MaM multimedia, s.r.o.",4,3,Let's Encrypt,65,89.221.218.208,1,1,1,1,0,0,197019,200,Apache,text/html; charset=UTF-8,2.95,0.33,0.56,0.0,0.0,1,2,0,0,False,5,Czechia,0
gloriapalac.sk,"Webglobe, a.s.",4,3,Let's Encrypt,51,116.203.128.201,1,1,1,1,1,1,24940,200,nginx,text/html; charset=UTF-8,3.32,0.36,0.57,0.0,0.0,2,2,0,0,False,1,Germany,0
hubertnz.sk,"Visible Promotion, s.r.o.",4,2,Let's Encrypt,59,37.9.175.133,1,1,1,1,0,0,51013,200,openresty,text/html; charset=UTF-8,3.46,0.18,0.73,0.0,0.0,1,4,0,0,False,6,Slovakia,0
vsonline.sk,"SWAN, a. s.",4,3,Let's Encrypt,43,86.110.225.104,1,0,0,0,0,0,29405,200,Apache,text/html; charset=ISO-8859-2,3.1,0.27,0.64,0.0,0.0,1,2,0,0,False,1,Slovakia,0
bachledka.sk,Websupport s.r.o.,4,3,Let's Encrypt,37,49.13.218.229,1,1,1,1,0,1,24940,200,nginx,text/html; charset=UTF-8,3.25,0.25,0.67,0.0,0.0,1,3,0,0,False,1,Germany,0
bardejov.sk,"SWAN, a. s.",4,3,Let's Encrypt,45,81.162.93.16,1,1,1,1,0,1,57606,200,nginx,text/html; charset=utf-8,3.46,0.27,0.64,0.0,0.0,1,2,0,0,False,1,Slovakia,0
tvojakava.sk,Websupport s.r.o.,4,2,Let's Encrypt,78,185.115.1.34,1,1,1,1,0,1,43541,200,nginx,text/html; charset=utf-8,2.86,0.33,0.58,0.0,0.0,1,2,0,0,False,1,Czechia,0
tvkosice.sk,bart.sk s.r.o.,4,3,Let's Encrypt,26,81.89.49.136,1,0,0,1,0,0,29405,200,nginx,text/html; charset=utf-8,3.1,0.27,0.64,0.0,0.0,1,3,0,0,False,1,Slovakia,0
dobsina.sk,"WEBY GROUP, s.r.o.",4,3,Let's Encrypt,55,82.119.224.201,1,1,1,1,0,1,5578,200,Apache,text/html; charset=utf-8,3.12,0.3,0.6,0.0,0.0,1,2,0,0,False,5,Slovakia,0
tulip.sk,"Webglobe, a.s.",4,1,Let's Encrypt,65,37.9.175.189,1,1,1,1,0,0,51013,200,openresty,text/html; charset=UTF-8,3.0,0.25,0.62,0.0,0.0,1,2,0,0,False,1,Slovakia,0
enviroportal.sk,Slovenská agentúra životného prostredia,4,3,DigiCert Inc,135,194.160.222.84,1,1,1,1,0,0,2607,200,Apache,text/html; charset=UTF-8,3.64,0.33,0.6,0.0,0.0,1,2,0,0,False,1,Slovakia,0
minv.sk,"Slovak Telekom, a.s.",4,3,Disig a.s.,46,213.81.150.11,1,1,1,1,0,0,6855,200,Apache,text/html,2.81,0.14,0.71,0.0,0.0,1,2,0,0,False,1,Slovakia,0
sasanka.sk,"ELBIA, s. r. o.",4,3,None,0,86.110.233.32,1,1,1,1,0,1,29405,200,RANDOM,text/html; charset=UTF-8,2.17,0.3,0.6,0.0,0.0,1,2,0,0,False,1,Slovakia,0
gov.sk,Národná agentúra pre sieťové a elektronické služby,4,3,None,114,195.49.191.194,1,1,1,1,0,1,25373,200,None,text/html; charset=utf-8,2.58,0.17,0.67,0.0,0.0,1,2,0,0,False,1,Slovakia,0
reklama.sk,"ELBIA, s. r. o.",4,3,Let's Encrypt,58,109.74.156.3,1,1,1,1,0,1,29405,200,RANDOM,text/html; charset=UTF-8,2.92,0.3,0.6,0.0,0.0,1,2,0,0,False,1,Slovakia,0
sabinov.sk,Websupport s.r.o.,4,3,Let's Encrypt,18,37.9.175.180,1,1,1,1,0,1,51013,200,openresty,text/html; charset=utf-8,3.12,0.3,0.6,0.0,0.0,1,2,0,0,False,5,Slovakia,0
hotelfrano.sk,"WebHouse, s.r.o.",4,2,None,0,None,0,0,0,0,0,0,None,0,None,None,3.55,0.31,0.62,0.0,0.0,1,3,0,0,False,5,None,0
ghotelza.sk,Websupport s.r.o.,4,3,Let's Encrypt,25,37.9.175.155,1,1,1,1,0,0,51013,200,openresty,text/html; charset=UTF-8,3.46,0.27,0.64,0.0,0.0,1,2,0,0,False,6,Slovakia,0
hotel-diana.sk,Websupport s.r.o.,4,3,Let's Encrypt,63,37.9.175.187,1,1,1,1,0,0,51013,200,openresty,text/html; charset=UTF-8,3.66,0.36,0.5,0.0,0.07,2,2,0,1,False,5,Slovakia,0
hotelrocakosice.sk,"ALKA SK, s.r.o.",4,4,Sectigo Limited,89,46.28.107.96,1,1,1,1,1,1,197019,200,Apache,text/html; charset=UTF-8,3.46,0.39,0.56,0.0,0.0,1,2,0,0,False,7,Czechia,0
magurahotel.sk,"Webglobe, a.s.",4,3,Let's Encrypt,17,195.181.248.21,1,1,1,1,1,1,48689,200,nginx,text/html; charset=UTF-8,3.66,0.36,0.57,0.0,0.0,1,2,0,0,False,1,Slovakia,0
mikulasskachata.sk,"Webglobe, a.s.",4,3,Let's Encrypt,66,157.230.78.190,1,1,1,1,1,1,14061,400,nginx,text/html,3.2,0.33,0.61,0.0,0.0,1,3,0,0,False,1,Germany,0
snina.sk,"INTERNET CZ, a.s.",4,3,Let's Encrypt,70,88.86.102.6,1,1,1,1,0,0,39392,200,Microsoft-IIS/8.5,text/html; charset=UTF-8,2.5,0.25,0.62,0.0,0.0,1,2,0,0,False,3,Czechia,0
hotel-eminent.sk,"WebHouse, s.r.o.",4,2,None,0,52.213.120.66,1,1,1,1,0,1,16509,200,Apache/2.4.62 (Amazon Linux),text/html; charset=UTF-8,3.45,0.31,0.56,0.0,0.06,1,2,0,1,False,6,Ireland,0
hotelhavrania.sk,Websupport s.r.o.,4,3,Let's Encrypt,57,37.9.174.74,1,1,1,1,0,0,51013,200,nginx,text/html; charset=utf-8,3.58,0.38,0.56,0.0,0.0,2,2,0,0,False,1,Slovakia,0
scm.sk,"Webglobe, a.s.",4,1,Let's Encrypt,42,217.67.30.40,1,1,1,1,1,1,5578,200,nginx,text/html; charset=UTF-8,2.25,0.0,0.83,0.0,0.0,0,3,0,0,False,1,Slovakia,0
hotelpeklo.sk,"Webglobe, a.s.",4,3,Let's Encrypt,65,213.133.104.23,1,1,1,1,1,1,24940,200,Apache,text/html; charset=utf-8,3.09,0.31,0.62,0.0,0.0,1,2,0,0,False,4,Germany,0
hotelhusarik.sk,Websupport s.r.o.,4,3,Let's Encrypt,64,37.9.174.74,1,1,1,1,0,0,51013,200,nginx,text/html; charset=utf-8,3.51,0.33,0.6,0.0,0.0,1,2,0,0,False,1,Slovakia,0
drmax.sk,Safenames Ltd,4,3,Let's Encrypt,57,104.18.0.53,2,1,1,1,0,1,13335,200,cloudflare,text/html;charset=UTF-8,3.0,0.12,0.75,0.0,0.0,1,3,0,0,False,1,Canada,0
dudince-mesto.sk,Websupport s.r.o.,4,2,Let's Encrypt,49,62.171.144.79,1,1,1,1,0,0,51167,200,nginx,text/html; charset=UTF-8,3.62,0.31,0.56,0.0,0.06,1,2,0,1,False,9,France,0
cicmany-ski.sk,"Webglobe, a.s.",4,2,Let's Encrypt,46,212.57.32.77,1,1,1,1,1,1,48689,200,Microsoft-IIS/10.0,text/html; charset=utf-8,3.24,0.29,0.57,0.0,0.07,1,2,0,1,False,1,Slovakia,0
brezova.sk,"INTERNET CZ, a.s.",4,3,Let's Encrypt,75,88.86.102.11,1,1,1,1,0,0,39392,200,Microsoft-IIS/8.5,text/html; charset=UTF-8,3.32,0.3,0.6,0.0,0.0,1,2,0,0,False,5,Czechia,0
dpmk.sk,"SWAN, a. s.",4,2,Let's Encrypt,61,81.2.254.14,1,1,1,1,0,0,24806,200,nginx/1.18.0 (Ubuntu),text/html; charset=UTF-8,2.52,0.0,0.86,0.0,0.0,0,4,0,0,False,1,Czechia,0
slovensko.sk,Národná agentúra pre sieťové a elektronické služby,4,3,DigiCert Inc,114,195.49.191.194,1,1,1,1,0,1,25373,200,None,text/html; charset=utf-8,2.86,0.25,0.67,0.0,0.0,1,3,0,0,False,1,Slovakia,0
krompachy.sk,VÁDIUM - IT s.r.o.,4,3,Let's Encrypt,48,212.57.34.210,1,1,1,1,1,1,48689,200,nginx,text/html; charset=utf-8,3.42,0.25,0.67,0.0,0.0,1,2,0,0,False,5,Slovakia,0
ziar.sk,Arrabella s.r.o.,4,3,Let's Encrypt,73,3.123.67.122,1,1,1,1,1,1,16509,200,nginx,text/html; charset=UTF-8,2.81,0.29,0.57,0.0,0.0,2,2,0,0,False,3,Germany,0
laspalmas.sk,"ACTIVE 24, s.r.o.",4,2,Let's Encrypt,43,3.125.172.46,2,0,0,1,0,0,16509,200,openresty,text/html; charset=UTF-8,2.63,0.25,0.67,0.0,0.0,1,2,0,0,False,6,Germany,0
hotelgrand.sk,"Webglobe, a.s.",4,3,DigiCert Inc,312,217.67.30.65,1,1,1,1,1,1,5578,200,nginx,text/html,3.7,0.23,0.69,0.0,0.0,1,3,0,0,False,5,Slovakia,0
hotelvillabianca.sk,"IMAFEX, s.r.o.",4,3,Let's Encrypt,71,37.58.5.244,1,1,1,1,0,1,28952,200,Apache,text/html; charset=UTF-8,3.64,0.37,0.58,0.0,0.0,2,2,0,0,False,8,Slovakia,0
hotelnitra.sk,"Webglobe, a.s.",4,3,Let's Encrypt,77,217.67.30.34,1,1,1,1,1,1,5578,200,nginx,text/html; charset=UTF-8,3.55,0.31,0.62,0.0,0.0,1,2,0,0,False,4,Slovakia,0
lineas.sk,Websupport s.r.o.,4,2,Let's Encrypt,36,37.9.175.181,1,1,1,1,0,0,51013,200,openresty,text/html; charset=UTF-8,2.95,0.33,0.56,0.0,0.0,2,2,0,0,False,4,Slovakia,0
sladkovicovo.sk,"INTERNET CZ, a.s.",4,3,Let's Encrypt,63,88.86.102.11,1,1,1,1,0,0,39392,200,Microsoft-IIS/8.5,text/html; charset=UTF-8,3.19,0.33,0.6,0.0,0.0,1,2,0,0,False,7,Czechia,0
autoskolapavuk.sk,EXO TECHNOLOGIES spol. s r.o.,4,2,None,0,None,0,1,1,1,0,0,None,0,None,None,3.18,0.41,0.53,0.0,0.0,2,2,0,0,False,1,None,0
avion.sk,Corporation Service Company (DBS) GmbH,4,3,DigiCert Inc,211,2.16.106.196,2,1,1,1,0,1,20940,200,Livat Server,text/html,3.0,0.38,0.5,0.0,0.0,2,2,0,0,False,1,United States,0
tvservis-za.sk,"INTERNET CZ, a.s.",4,3,None,0,81.2.195.68,1,0,0,1,0,0,24806,200,Apache,text/html; charset=utf-8,3.32,0.21,0.64,0.0,0.07,1,3,0,1,False,1,Czechia,0
mckvp.sk,ANTIK Telecom s.r.o.,4,1,None,0,88.212.10.20,1,1,1,1,0,0,42841,200,Apache,text/html; charset=UTF-8,2.75,0.0,0.88,0.0,0.0,0,5,0,0,False,4,Slovakia,0
