Domain,Registrar,Creation_Date,Update_Date,SSL_Issuer,SSL_TTL,IPv4_Num,NumOfIPs,SPF,MX,DKIM,DMARC,AS,HTTP_Status,Server,Entropy,Vowel_Ratio,Consonant_Ratio,Numerical_Ratio,Special_Char_Ratio,Vowel_Sequence,Consonant_Sequence,Numerical_Sequence,Special_Char_Sequence,Is_Unicode,Levenshtein_Distance,Contains_Blacklisted,Last_is_sk,Location,Class
lineas.sk,Websupport s.r.o.,4.0,2.0,Let's Encrypt,87,621391797,1,1,1,0,0,51013,200,openresty,2.95,0.33,0.56,0.0,0.0,2,2,0,0,False,8,False,False,Slovakia,0
autoskolatymczak.sk,"Webglobe, a.s.",4.0,1.0,Let's Encrypt,17,3283482645,1,1,1,1,1,48689,200,nginx,3.43,0.37,0.58,0.0,0.0,2,3,0,0,False,18,False,False,Slovakia,0
penzionnaty.sk,Websupport s.r.o.,4.0,1.0,Let's Encrypt,35,1585626445,1,1,1,0,1,24940,200,Apache,3.47,0.36,0.57,0.0,0.0,2,2,0,0,False,13,False,False,Germany,0
tkl.sk,"KÚPELE LUČIVNÁ, a.s.",4.0,3.0,Let's Encrypt,46,621391748,1,1,1,0,0,51013,200,openresty,2.25,0.0,0.83,0.0,0.0,0,3,0,0,False,5,False,False,Slovakia,0
jamstavby.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,87,621391650,1,1,1,0,0,51013,200,openresty,3.25,0.25,0.67,0.0,0.0,1,3,0,0,False,11,False,False,Slovakia,0
aaaauto.sk,"Webglobe, a.s.",4.0,2.0,Sectigo Limited,15,1572431471,1,1,1,0,1,43541,200,nginx,2.52,0.6,0.3,0.0,0.0,5,2,0,0,False,9,False,False,Czechia,0
corghi.sk,"Webglobe, a.s.",4.0,3.0,None,22,3560513560,1,1,1,0,1,48689,200,nginx,3.17,0.22,0.67,0.0,0.0,1,3,0,0,False,8,False,False,Slovakia,0
trnavamasaze.sk,"Webglobe, a.s.",4.0,3.0,None,22,3645054525,1,1,1,1,1,5578,200,nginx,3.24,0.33,0.6,0.0,0.0,1,3,0,0,False,14,False,False,Slovakia,0
babickindvor.sk,"WEDOS Internet, a.s.",4.0,1.0,Let's Encrypt,72,1280054549,1,1,1,0,0,16509,200,Vercel,3.51,0.27,0.67,0.0,0.0,1,3,0,0,False,14,False,False,United States,0
znalec-posudok.sk,"ANSWER, s. r. o.",4.0,4.0,Let's Encrypt,67,621391749,1,1,1,0,0,51013,200,openresty,3.73,0.29,0.59,0.0,0.06,1,2,0,1,False,16,False,False,Slovakia,0
prosluzby.sk,"ACTIVE 24, s.r.o.",4.0,1.0,Let's Encrypt,68,521079463,1,1,1,0,0,25234,200,nginx,3.42,0.25,0.67,0.0,0.0,1,2,0,0,False,11,False,False,Czechia,1
hotelmladost.sk,SIXNET internet technologies s.r.o.,4.0,1.0,Let's Encrypt,64,1091927063,1,1,1,0,0,24940,200,Apache,3.37,0.27,0.67,0.0,0.0,1,3,0,0,False,14,False,False,Finland,0
cistiaren-bratislava.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,58,522097977,1,1,1,0,0,16019,200,Apache,3.59,0.35,0.57,0.0,0.04,2,2,0,1,False,22,True,False,Czechia,1
cicmany-ski.sk,"Webglobe, a.s.",4.0,2.0,Let's Encrypt,71,3560513613,1,1,1,1,1,48689,200,Microsoft-IIS/10.0,3.24,0.29,0.57,0.0,0.07,1,2,0,1,False,13,False,False,Slovakia,0
longchampslovensko.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,89,2665349682,1,0,0,0,0,63119,200,Apache,3.65,0.24,0.71,0.0,0.0,1,4,0,0,False,20,True,False,United States,1
rozhodni-bsk.sk,Gransy s.r.o.,4.0,1.0,Let's Encrypt,73,1296984067,1,1,1,0,1,15685,200,nginx,3.51,0.2,0.67,0.0,0.07,1,3,0,1,False,14,False,True,Czechia,1
bugy.sk,"NEONUS, s.r.o.",4.0,3.0,Let's Encrypt,32,3107705022,1,1,1,0,1,43541,200,nginx,2.81,0.29,0.57,0.0,0.0,1,2,0,0,False,6,False,False,Czechia,0
skidrienica.sk,"Webglobe, a.s.",4.0,3.0,Let's Encrypt,32,1047369597,1,1,1,1,1,29134,200,nginx,3.18,0.36,0.57,0.0,0.0,2,2,0,0,False,13,False,False,Czechia,0
kupelediamant.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,48,1123122395,1,1,1,0,0,40509,200,Fly/a3675627f (2025-04-16),3.62,0.38,0.56,0.0,0.0,2,2,0,0,False,15,True,False,United States,0
hoteldalia.sk,"WebHouse, s.r.o.",4.0,3.0,Let's Encrypt,75,786818605,1,1,1,0,1,29405,200,Apache,3.39,0.38,0.54,0.0,0.0,2,2,0,0,False,12,False,False,Slovakia,0
amiri-slovensko.sk,Gransy s.r.o.,4.0,4.0,Let's Encrypt,64,2783418655,1,0,0,0,0,58065,200,Apache,3.57,0.33,0.56,0.0,0.06,1,3,0,1,False,17,True,False,United States,1
forumpoprad.sk,Websupport s.r.o.,4.0,3.0,Sectigo Limited,39,621391805,1,1,1,0,1,51013,200,openresty,3.38,0.29,0.64,0.0,0.0,1,2,0,0,False,13,False,False,Slovakia,0
hotelsteve.sk,NETIM,3.0,3.0,Google Trust Services,81,1746214913,7,0,0,0,0,13335,200,cloudflare,3.03,0.31,0.62,0.0,0.0,1,3,0,0,False,12,False,False,Canada,0
bama-elektro.sk,Speedweb s. r. o.,4.0,1.0,Let's Encrypt,88,1833606527,1,1,1,1,1,29405,200,nginx,3.51,0.33,0.53,0.0,0.07,1,3,0,1,False,14,False,False,Slovakia,0
chovancak.sk,EXO TECHNOLOGIES spol. s r.o.,4.0,3.0,Let's Encrypt,28,1559297283,1,1,1,0,0,29405,200,None,3.08,0.25,0.67,0.0,0.0,1,2,0,0,False,11,False,False,Slovakia,0
funnyjump.sk,"ADEM, s.r.o.",4.0,3.0,Let's Encrypt,45,1364801648,1,1,1,0,1,29405,403,LiteSpeed,3.25,0.25,0.67,0.0,0.0,1,2,0,0,False,11,False,False,Slovakia,0
polenesk.sk,Gransy s.r.o.,3.0,3.0,Google Trust Services,61,1746231297,7,0,0,0,0,13335,200,cloudflare,2.91,0.27,0.64,0.0,0.0,1,2,0,0,False,10,False,True,Canada,1
flylondonbratislava.sk,NETIM,4.0,3.0,Google Trust Services,68,2890115077,2,0,0,0,0,13335,403,cloudflare,3.75,0.32,0.64,0.0,0.0,1,3,0,0,False,21,True,False,Canada,1
gabiony-eshop.sk,Gransy s.r.o.,3.0,3.0,Google Trust Services,72,1746210817,7,0,0,0,0,13335,500,cloudflare,3.75,0.38,0.5,0.0,0.06,2,2,0,1,False,15,True,False,Canada,1
freitagslovensko.sk,Gransy s.r.o.,3.0,3.0,Google Trust Services,56,2890114075,2,0,0,0,0,13335,200,cloudflare,3.68,0.32,0.63,0.0,0.0,2,3,0,0,False,18,True,False,Canada,1
eccoobuv.sk,Key-Systems GmbH,4.0,3.0,"cPanel, LLC",38,3304537242,1,0,0,0,0,41564,200,Apache,3.1,0.36,0.55,0.0,0.0,2,2,0,0,False,10,True,False,None,1
bdnr.sk,"Webglobe, a.s.",4.0,3.0,Let's Encrypt,33,3560513612,1,1,1,1,1,48689,200,nginx,2.81,0.0,0.86,0.0,0.0,0,4,0,0,False,6,False,False,Slovakia,0
bemedi.sk,Gransy s.r.o.,2.0,2.0,Google Trust Services,86,1746231297,7,0,0,0,0,13335,404,cloudflare,2.95,0.33,0.56,0.0,0.0,1,2,0,0,False,8,False,False,Canada,0
ockorzo.sk,"Webglobe, a.s.",4.0,1.0,Let's Encrypt,50,966371158,1,1,1,1,1,8075,200,nginx,2.65,0.3,0.6,0.0,0.0,1,2,0,0,False,9,False,False,Netherlands,0
unipo.sk,"WebHouse, s.r.o.",4.0,3.0,GEANT Vereniging,239,3265314831,1,1,1,0,0,2607,200,Apache,3.0,0.38,0.5,0.0,0.0,1,2,0,0,False,7,False,False,Slovakia,0
tevasandale.sk,"WebHouse, s.r.o.",3.0,3.0,Google Trust Services,39,1746223105,7,0,0,0,0,13335,403,cloudflare,3.18,0.36,0.57,0.0,0.0,1,2,0,0,False,13,False,False,Canada,1
ukf.sk,Univerzita Konštantína Filozofa v Nitre,4.0,3.0,GEANT Vereniging,139,3243707473,1,1,1,0,1,2607,200,Apache,2.25,0.17,0.67,0.0,0.0,1,2,0,0,False,5,False,False,Slovakia,0
backend.sk,Websupport s.r.o.,4.0,2.0,Google Trust Services,46,1746211143,2,1,1,0,1,13335,200,cloudflare,3.12,0.2,0.7,0.0,0.0,1,2,0,0,False,9,False,False,Canada,0
dldviktoria.sk,EXO TECHNOLOGIES spol. s r.o.,4.0,1.0,Let's Encrypt,83,1559297297,1,1,1,0,0,29405,0,None,3.38,0.29,0.64,0.0,0.0,2,4,0,0,False,13,False,False,Slovakia,0
scrapshop.sk,Websupport s.r.o.,4.0,3.0,None,61,621391805,1,1,1,0,0,51013,200,openresty,3.02,0.17,0.75,0.0,0.0,1,3,0,0,False,11,True,False,Slovakia,0
perfektneobrazy.sk,Websupport s.r.o.,4.0,3.0,None,0,621390088,1,0,1,0,0,51013,200,openresty,3.68,0.33,0.61,0.0,0.0,2,3,0,0,False,17,False,False,Slovakia,0
hollisterslovensko.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,74,3304094018,1,0,0,0,0,41564,200,Apache,3.37,0.29,0.67,0.0,0.0,1,3,0,0,False,20,True,False,Germany,1
ocidea.sk,Websupport s.r.o.,4.0,1.0,Let's Encrypt,27,621391434,1,1,1,0,0,51013,200,nginx,3.17,0.44,0.44,0.0,0.0,2,2,0,0,False,8,False,False,Slovakia,0
starting.sk,EXO TECHNOLOGIES spol. s r.o.,4.0,3.0,Let's Encrypt,7,1559297294,1,1,1,0,0,29405,200,None,3.1,0.18,0.73,0.0,0.0,1,2,0,0,False,10,False,False,Slovakia,0
desigualoutlet.sk,Gransy s.r.o.,4.0,2.0,Let's Encrypt,23,2783395847,1,0,0,0,0,48950,200,Apache,3.5,0.41,0.53,0.0,0.0,2,2,0,0,False,16,True,False,Germany,1
alfavet.sk,"INTERNET CZ, a.s.",4.0,3.0,Let's Encrypt,33,1360995606,1,1,1,0,1,24971,200,openresty,3.12,0.3,0.6,0.0,0.0,1,2,0,0,False,9,False,False,Czechia,0
bbautodiely.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,61,3248704863,1,1,1,0,0,29405,200,nginx,3.66,0.43,0.5,0.0,0.0,2,2,0,0,False,13,False,False,Slovakia,0
b2interiors.sk,"Webglobe, a.s.",4.0,3.0,None,41,1047366693,1,0,1,0,0,29134,200,nginx,3.38,0.29,0.57,0.07,0.0,2,2,1,0,False,13,False,False,Czechia,0
salomontenisky.sk,Gransy s.r.o.,3.0,3.0,Google Trust Services,42,2890111330,2,0,0,0,0,13335,200,cloudflare,3.45,0.35,0.59,0.0,0.0,1,2,0,0,False,16,True,False,Canada,1
reebokeshop.sk,Gransy s.r.o.,3.0,3.0,Let's Encrypt,69,2783380558,1,0,0,0,0,57858,200,Apache,3.04,0.36,0.57,0.0,0.0,2,2,0,0,False,13,True,False,Seychelles,1
vlonebratislava.sk,NETIM,4.0,3.0,ZeroSSL,74,3301228793,1,0,0,0,0,41564,403,Apache/2,3.57,0.33,0.61,0.0,0.0,1,2,0,0,False,17,True,False,Ireland,1
hunter-sk.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,43,3304094111,1,0,0,0,0,41564,200,Apache,3.25,0.17,0.67,0.0,0.08,1,2,0,1,False,11,False,True,Germany,1
adidasoutletsk.sk,Gransy s.r.o.,4.0,4.0,None,0,3301231648,1,0,0,0,0,58065,200,Apache,3.34,0.35,0.59,0.0,0.0,2,3,0,0,False,16,True,True,Finland,1
stropkov.sk,"WEBY GROUP, s.r.o.",4.0,3.0,Let's Encrypt,87,1383588041,1,1,1,0,1,5578,200,Apache,2.91,0.18,0.73,0.0,0.0,1,3,0,0,False,10,False,False,Slovakia,0
bendula.sk,"Webglobe, a.s.",4.0,3.0,Let's Encrypt,60,1359007336,1,1,1,0,0,15685,200,nginx,3.32,0.3,0.6,0.0,0.0,1,2,0,0,False,9,False,False,Czechia,0
hotelsvmichal.sk,Websupport s.r.o.,4.0,1.0,Let's Encrypt,78,786817289,1,1,1,0,1,29405,200,nginx,3.62,0.25,0.69,0.0,0.0,1,4,0,0,False,15,False,False,Slovakia,0
c-and-a-slovensko.sk,Gransy s.r.o.,3.0,3.0,Let's Encrypt,45,2783395846,1,0,0,0,0,48950,200,Apache,3.45,0.25,0.55,0.0,0.15,1,3,0,1,False,19,True,False,Germany,1
hotelpolana.sk,"WEBY GROUP, s.r.o.",4.0,1.0,None,0,1572356489,1,1,1,0,1,29405,200,nginx,3.38,0.36,0.57,0.0,0.0,1,2,0,0,False,13,False,False,Slovakia,0
bardejov.sk,"SWAN, a. s.",4.0,3.0,Let's Encrypt,76,1369595152,1,1,1,0,1,57606,200,nginx,3.46,0.27,0.64,0.0,0.0,1,2,0,0,False,10,False,False,Slovakia,0
speedoslovensko.sk,Gransy s.r.o.,4.0,2.0,Let's Encrypt,34,3304144699,1,0,0,0,0,41564,200,Apache,3.09,0.33,0.61,0.0,0.0,2,3,0,0,False,17,True,False,United Kingdom,1
tamarislovenskos.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,17,3304430027,1,0,0,0,0,41564,200,Apache,3.51,0.32,0.63,0.0,0.0,1,3,0,0,False,18,True,False,Slovakia,1
touchit.sk,Websupport s.r.o.,4.0,1.0,Let's Encrypt,57,1450107178,1,1,1,0,1,29405,200,Apache/2.4.57 (Unix) OpenSSL/1.0.2k-fips,3.12,0.3,0.6,0.0,0.0,2,2,0,0,False,9,False,False,Slovakia,0
uggssk.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,71,3301238760,1,0,0,0,0,48950,200,Apache,2.2,0.11,0.78,0.0,0.0,1,5,0,0,False,8,False,True,Sweden,1
bamara.sk,INVER spol. s r.o.,4.0,3.0,None,50,3161981231,1,0,1,0,0,49115,200,Apache/2.4.10 (Debian),2.64,0.33,0.56,0.0,0.0,1,2,0,0,False,8,False,False,Slovakia,0
kupelenimnica.sk,EuroNET Slovakia s.r.o.,4.0,3.0,Let's Encrypt,53,3587669149,1,1,1,0,1,5578,200,Apache/2.4.63 (FreeBSD) OpenSSL/1.1.1w-freebsd mpm-itk/2.4.7-04 PHP/7.4.32,3.5,0.38,0.56,0.0,0.0,1,2,0,0,False,15,True,False,Slovakia,0
corteizsk.sk,Gransy s.r.o.,3.0,3.0,Let's Encrypt,58,2665349676,1,0,0,0,0,63119,200,Apache,3.25,0.25,0.67,0.0,0.0,2,3,0,0,False,11,False,True,United States,1
perfektna.sk,Onikron s.r.o.,4.0,2.0,Let's Encrypt,14,621391773,1,1,1,0,0,51013,200,openresty,3.25,0.25,0.67,0.0,0.0,1,3,0,0,False,11,False,False,Slovakia,1
demoniatopanky.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,31,3304239915,1,0,0,0,0,58065,200,Apache,3.62,0.41,0.53,0.0,0.0,2,2,0,0,False,16,True,False,South Africa,1
slov-lex.sk,Ministerstvo spravodlivosti Slovenskej republiky,4.0,3.0,Let's Encrypt,68,2315432560,1,1,1,0,0,31898,403,None,3.1,0.18,0.64,0.0,0.09,1,2,0,1,False,10,False,False,Germany,0
gaspsk.sk,Gransy s.r.o.,3.0,3.0,Google Trust Services,38,1746227722,2,0,0,0,0,13335,403,cloudflare,2.42,0.11,0.78,0.0,0.0,1,4,0,0,False,8,False,True,Canada,1
barefootovo.sk,Websupport s.r.o.,4.0,3.0,ZeroSSL,5,3108035365,1,1,1,0,0,43541,200,nginx,3.24,0.43,0.5,0.0,0.0,2,2,0,0,False,13,True,False,Czechia,0
lasportivaobuv.sk,"WebHouse, s.r.o.",3.0,3.0,Google Trust Services,32,1746231297,7,0,0,0,0,13335,403,cloudflare,3.62,0.35,0.59,0.0,0.0,2,2,0,0,False,16,True,False,Canada,1
kupele-bj.sk,"WebHouse, s.r.o.",4.0,3.0,"DigiCert, Inc.",209,1450111775,1,1,1,0,1,29405,200,Apache,3.25,0.25,0.58,0.0,0.08,1,2,0,1,False,11,True,False,Slovakia,0
hotelkormoran.sk,"BACKBONE, s.r.o.",4.0,2.0,Let's Encrypt,63,1053157772,1,1,1,0,0,5578,200,None,3.45,0.31,0.62,0.0,0.0,1,2,0,0,False,15,False,False,Slovakia,0
hotelmajolika.sk,SOLTEC s.r.o.,4.0,3.0,None,56,786817129,1,1,1,0,1,29405,200,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips mod_fcgid/2.3.9 PHP/5.6.40,3.5,0.38,0.56,0.0,0.0,1,2,0,0,False,15,False,False,Slovakia,0
kyticka.sk,Eva Hromádková - KRISTÍNKA,4.0,1.0,None,0,3114381182,1,0,0,0,0,5578,200,nginx,2.85,0.3,0.6,0.0,0.0,1,2,0,0,False,9,False,False,Slovakia,0
trnava.sk,Václav Paul - JEREMY,4.0,3.0,"DigiCert, Inc.",280,1051214956,1,1,1,1,1,5578,200,Apache,2.95,0.22,0.67,0.0,0.0,1,3,0,0,False,8,False,False,Slovakia,0
danubiagate.sk,EXO TECHNOLOGIES spol. s r.o.,4.0,3.0,DigiCert Inc,85,1559297387,1,1,1,0,0,29405,200,None,3.47,0.43,0.5,0.0,0.0,2,2,0,0,False,13,False,False,Slovakia,0
tamaris.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,16,1296984067,1,1,1,0,1,15685,200,Apache/2.4.25 (Debian),2.92,0.3,0.6,0.0,0.0,1,2,0,0,False,9,False,False,Czechia,1
crocslacne.sk,Gransy s.r.o.,4.0,3.0,Let's Encrypt,45,2783425653,1,0,0,0,0,58065,200,Apache,3.18,0.23,0.69,0.0,0.0,1,3,0,0,False,12,True,False,Estonia,1
barnes.sk,Websupport s.r.o.,4.0,1.0,Let's Encrypt,32,3283483190,1,1,1,1,1,48689,200,nginx,2.95,0.22,0.67,0.0,0.0,1,2,0,0,False,8,False,False,Slovakia,0
decathlonbratislava.sk,NETIM,4.0,3.0,ZeroSSL,83,3301228749,1,0,0,0,0,41564,403,Apache/2,3.82,0.32,0.64,0.0,0.0,1,3,0,0,False,21,True,False,Ireland,1
zlatyklucik.sk,"Webglobe, a.s.",4.0,3.0,Let's Encrypt,87,3645054525,1,1,1,1,1,5578,200,nginx,3.32,0.29,0.64,0.0,0.0,1,2,0,0,False,13,False,False,Slovakia,0
balony.sk,"ACTIVE 24, s.r.o.",4.0,3.0,Let's Encrypt,66,1365205136,1,0,1,0,0,25234,200,nginx,3.17,0.33,0.56,0.0,0.0,1,2,0,0,False,8,False,False,Czechia,0
hotelturiec.sk,Websupport s.r.o.,4.0,3.0,Let's Encrypt,13,621391797,1,1,1,0,0,51013,200,openresty,3.52,0.36,0.57,0.0,0.0,2,2,0,0,False,13,False,False,Slovakia,0
