Domain,Registrar,Creation_Date,Update_Date,Registration_Period,SSL_Issuer,SSL_TTL,Validity_Length,SAN_Count,IPv4_Num,NumOfIPs,SPF,MX,DKIM,DMARC,AS,HTTP_Status,Server,Entropy,Vowel_Ratio,Consonant_Ratio,Numerical_Ratio,Special_Char_Ratio,Vowel_Sequence,Consonant_Sequence,Numerical_Sequence,Special_Char_Sequence,Is_Unicode,Levenshtein_Distance,Contains_Blacklisted,Last_is_sk,Location,Class
darcekyprestastie.sk,"Webglobe, s.r.o.",4,3,5479,Let's Encrypt,28,89,2,1047369500,1,1,1,1,1,29134,200,nginx,3.45,0.35,0.6,0.0,0.0,2,2,0,0,0,19,0,0,Czechia,0
velkysaris.sk,"WEBY GROUP, s.r.o.",4,1,7670,Let's Encrypt,31,89,2,1383588041,1,1,1,0,1,5578,200,Apache,3.18,0.31,0.62,0.0,0.0,1,2,0,0,0,12,0,0,Slovakia,0
basetoosl.sk,Gransy s.r.o.,4,2,731,Let's Encrypt,57,89,6,1542460480,1,1,1,0,0,59939,200,Apache/2,3.02,0.33,0.58,0.0,0.0,2,2,0,0,0,11,0,0,Netherlands,1
bbkart.sk,"crooce.com - the internet company, s.r.o.",4,2,7292,Let's Encrypt,79,89,2,54617701,2,1,1,0,0,16509,200,openresty,2.73,0.11,0.78,0.0,0.0,1,3,0,0,0,8,0,0,Germany,0
mestosastinstraze.sk,"Webglobe, a.s.",4,3,5114,Let's Encrypt,67,89,3,1482057222,1,1,1,1,1,39392,200,Microsoft-IIS/8.5,3.3,0.3,0.65,0.0,0.0,1,4,0,0,0,19,0,0,Czechia,0
bardejovskatv.sk,"iMprove GROUP, s.r.o.",4,3,7308,Let's Encrypt,17,89,2,621391773,1,1,1,0,0,51013,200,openresty,3.5,0.25,0.69,0.0,0.0,1,3,0,0,0,15,0,0,Slovakia,0
nhgateone.sk,Eurodns S.A.,4,3,5114,Unknown,-1,-1,-1,3276547411,1,0,0,0,0,3352,403,Unknown,3.25,0.33,0.58,0.0,0.0,2,3,0,0,0,11,0,0,Spain,0
superdrybratislava.sk,Key-Systems GmbH,4,1,1096,ZeroSSL,36,90,2,3301230106,1,0,0,0,0,41564,403,Apache/2,3.71,0.33,0.62,0.0,0.0,1,3,0,0,0,20,1,0,Ireland,1
stropkov.sk,"WEBY GROUP, s.r.o.",4,3,8036,Let's Encrypt,82,89,2,1383588041,1,1,1,0,1,5578,200,Apache,2.91,0.18,0.73,0.0,0.0,1,3,0,0,0,10,0,0,Slovakia,0
3trade.sk,"WebCreators, s. r. o.",4,3,7670,Let's Encrypt,42,89,2,3248704794,1,1,1,1,1,29405,200,nginx,3.17,0.22,0.56,0.11,0.0,1,2,1,0,0,8,0,0,Slovakia,0
beneholding.sk,"ACTIVE 24, s.r.o.",4,3,4383,Let's Encrypt,61,89,1,1410344864,1,0,0,0,0,31679,200,nginx,3.52,0.29,0.64,0.0,0.0,1,2,0,0,0,13,0,0,Slovakia,0
umbro-slovensko.sk,"WebHouse, s.r.o.",3,3,365,Google Trust Services,72,90,2,1746208921,2,0,0,0,0,13335,403,cloudflare,3.53,0.28,0.61,0.0,0.06,1,3,0,1,0,17,1,0,Canada,1
viagogo.sk,Gandi SAS,4,3,5844,Microsoft Corporation,157,180,4,225180972,1,1,1,0,1,8075,200,Unknown,2.92,0.4,0.5,0.0,0.0,2,2,0,0,0,9,0,0,Canada,1
restauraciafiat.sk,"Webglobe, a.s.",4,3,6940,Let's Encrypt,14,89,2,3283483311,1,1,1,1,1,48689,200,nginx,3.28,0.44,0.5,0.0,0.0,2,2,0,0,0,17,0,0,Slovakia,0
benconsult.sk,EXO TECHNOLOGIES spol. s r.o.,4,2,5854,Unknown,-1,-1,-1,1559297352,1,1,1,0,0,29405,200,Unknown,3.39,0.23,0.69,0.0,0.0,1,2,0,0,0,12,0,0,Slovakia,0
mckvp.sk,ANTIK Telecom s.r.o.,4,1,8401,Let's Encrypt,40,89,2,1490291220,1,1,1,0,0,42841,200,Apache,2.75,0.0,0.88,0.0,0.0,0,5,0,0,0,7,0,0,Slovakia,0
bbklinika.sk,"Webglobe, a.s.",4,3,1826,Let's Encrypt,46,89,2,3283482650,1,1,1,1,1,48689,200,nginx,2.86,0.25,0.67,0.0,0.0,1,4,0,0,0,11,0,0,Slovakia,0
hotelthermal.sk,Smartweb s.r.o.,4,3,8036,Let's Encrypt,14,89,2,621391771,3,1,1,1,0,51013,200,openresty,3.37,0.27,0.67,0.0,0.0,1,3,0,0,0,14,0,0,Slovakia,0
bbaekonomic.sk,Websupport s.r.o.,4,3,5850,Let's Encrypt,66,89,1,621391813,1,1,1,0,0,51013,200,openresty,3.38,0.36,0.57,0.0,0.0,2,2,0,0,0,13,0,0,Slovakia,0
ziar.sk,Arrabella s.r.o.,4,3,8032,Let's Encrypt,38,89,2,58409850,1,1,1,1,1,16509,200,nginx,2.81,0.29,0.57,0.0,0.0,2,2,0,0,0,6,0,0,Germany,0
pumalacno.sk,Gransy s.r.o.,4,3,1096,Let's Encrypt,37,89,2,2665349660,1,0,0,0,0,63119,200,Apache,3.42,0.33,0.58,0.0,0.0,1,2,0,0,0,11,1,0,USA,1
autoskolakozel.sk,"Webglobe, a.s.",4,3,5114,Let's Encrypt,55,89,2,3283482669,1,1,1,1,1,48689,200,nginx,3.18,0.41,0.53,0.0,0.0,2,2,0,0,0,16,0,0,Slovakia,0
fatrapark2apartments.sk,Websupport s.r.o.,4,3,2192,Let's Encrypt,46,89,2,1482062096,1,1,1,0,0,39392,200,nginx,3.34,0.26,0.65,0.04,0.0,1,3,1,0,0,22,0,0,Czechia,0
hotelpatriot.sk,Websupport s.r.o.,4,3,8011,Let's Encrypt,84,89,2,621391747,1,1,1,0,0,51013,200,openresty,3.46,0.33,0.6,0.0,0.0,2,2,0,0,0,14,0,0,Slovakia,0
bakschool.sk,"WEBY GROUP, s.r.o.",4,3,5114,Unknown,-1,-1,-1,1572356490,1,1,1,0,1,29405,200,nginx,3.08,0.25,0.67,0.0,0.0,2,4,0,0,0,11,0,0,Slovakia,0
bt-servis.sk,"crooce.com - the internet company, s.r.o.",4,2,7670,Let's Encrypt,74,89,3,1383590678,1,1,1,0,0,5578,200,openresty,3.19,0.17,0.67,0.0,0.08,1,2,0,1,0,11,0,0,Slovakia,0
hotelpolana.sk,"WEBY GROUP, s.r.o.",4,1,8401,Unknown,-1,-1,-1,1572356489,1,1,1,0,1,29405,200,nginx,3.38,0.36,0.57,0.0,0.0,1,2,0,0,0,13,0,0,Slovakia,0
trstena.sk,"DSI DATA, a. s.",4,4,8036,Let's Encrypt,82,89,2,1383588041,1,1,1,0,1,5578,200,Apache,2.92,0.2,0.7,0.0,0.0,1,4,0,0,0,9,0,0,Slovakia,0
horskyhotel-eva.sk,Websupport s.r.o.,4,3,8032,Let's Encrypt,74,89,2,621391749,1,1,1,0,0,51013,200,openresty,3.61,0.33,0.56,0.0,0.06,1,3,0,1,0,17,0,0,Slovakia,0
palladiumslovakia.sk,Gransy s.r.o.,4,3,1096,Let's Encrypt,50,89,2,2665349661,1,0,0,0,0,63119,200,Apache,3.38,0.4,0.55,0.0,0.0,2,3,0,0,0,19,1,0,USA,1
babyroom.sk,Websupport s.r.o.,4,3,1461,Let's Encrypt,69,89,2,621391773,1,1,1,0,0,51013,200,openresty,3.1,0.36,0.55,0.0,0.0,2,2,0,0,0,10,0,0,Slovakia,0
znalecnitra.sk,"ACTIVE 24, s.r.o.",4,3,3287,Let's Encrypt,57,89,2,521079357,1,0,1,0,0,25234,200,nginx,3.52,0.29,0.64,0.0,0.0,1,2,0,0,0,13,0,0,Czechia,1
barimpex.sk,DATACOM.EU s.r.o.,4,2,7670,Let's Encrypt,29,89,1,1434753202,1,1,1,0,1,24641,200,Apache,3.46,0.27,0.64,0.0,0.0,1,2,0,0,0,10,0,0,Czechia,0
beetle.sk,Websupport s.r.o.,4,2,6940,Unknown,-1,-1,-1,1359135412,1,0,1,0,0,24806,200,Microsoft-IIS/10.0,2.64,0.33,0.56,0.0,0.0,2,2,0,0,0,8,0,0,Czechia,0
skibezovec.sk,"WebCreators, s. r. o.",4,3,7670,Let's Encrypt,83,89,2,3248704860,1,1,1,1,1,29405,200,nginx,3.24,0.31,0.62,0.0,0.0,1,2,0,0,0,12,0,0,Slovakia,0
balkonsystem.sk,"WebHouse, s.r.o.",4,3,4383,Let's Encrypt,49,89,4,1450111775,1,1,1,0,1,29405,200,Apache,3.46,0.27,0.67,0.0,0.0,1,2,0,0,0,14,0,0,Slovakia,0
benchpress.sk,"Webglobe, a.s.",4,3,3653,Let's Encrypt,39,89,2,3283483175,1,1,1,1,1,48689,200,nginx,3.18,0.15,0.77,0.0,0.0,1,5,0,0,0,12,0,0,Slovakia,0
louboutinvypredaj.sk,Gransy s.r.o.,4,1,1461,Let's Encrypt,35,89,2,3304430020,1,0,0,0,0,41564,200,Apache,4.12,0.4,0.55,0.0,0.0,2,2,0,0,0,19,1,0,Unknown,1
bate.sk,"Slovanet, a. s.",4,3,6209,DigiCert Inc,369,378,2,3560513564,1,0,1,0,0,48689,200,nginx,2.81,0.29,0.57,0.0,0.0,1,2,0,0,0,6,0,0,Slovakia,0
bareko.sk,"WebHouse, s.r.o.",4,2,5479,Let's Encrypt,22,89,2,621391773,1,1,1,0,0,51013,200,openresty,2.95,0.33,0.56,0.0,0.0,1,2,0,0,0,8,0,0,Slovakia,0
ba-auto.sk,"Webglobe, a.s.",4,3,5844,DigiCert Inc,369,378,2,3283482893,1,1,1,1,1,48689,200,nginx,3.12,0.4,0.4,0.0,0.1,2,2,0,1,0,9,0,0,Slovakia,0
bandi.sk,Seonet Multimedia s.r.o.,4,2,5837,Let's Encrypt,37,89,2,2672118348,1,1,1,0,1,24940,403,nginx,3.0,0.25,0.62,0.0,0.0,1,2,0,0,0,7,0,0,Germany,0
babykiss.sk,Websupport s.r.o.,4,3,2557,Let's Encrypt,11,89,2,621391796,1,1,1,0,0,51013,200,openresty,2.66,0.27,0.64,0.0,0.0,1,2,0,0,0,10,0,0,Slovakia,0
hoodrichbunda.sk,Key-Systems GmbH,4,2,1096,ZeroSSL,82,90,2,2783444266,1,1,1,0,0,41564,403,Apache/2,3.62,0.31,0.62,0.0,0.0,2,3,0,0,0,15,1,0,India,1
bicompany.sk,"Webglobe, a.s.",4,2,2922,Let's Encrypt,59,89,2,3645054556,1,1,1,1,1,5578,200,nginx,3.58,0.33,0.58,0.0,0.0,1,2,0,0,0,11,0,0,Slovakia,0
baliksro.sk,"Webglobe, a.s.",4,4,8770,DigiCert Inc,369,378,2,3560513691,1,1,1,1,1,48689,200,nginx,3.1,0.27,0.64,0.0,0.0,1,3,0,0,0,10,0,0,Slovakia,0
castellorv.sk,Websupport s.r.o.,4,2,6209,Let's Encrypt,14,89,2,621391748,1,1,1,0,0,51013,200,openresty,3.39,0.23,0.69,0.0,0.0,1,2,0,0,0,12,0,0,Slovakia,0
intimissimislovensko-sk.sk,Gransy s.r.o.,3,3,365,Let's Encrypt,46,89,2,2783395895,1,0,0,0,0,48950,200,Apache,3.24,0.31,0.62,0.0,0.04,1,3,0,1,0,25,1,1,Germany,1
tamarisslovensko.sk,Gransy s.r.o.,4,3,1461,Let's Encrypt,80,89,8,3304430027,1,0,0,0,0,41564,200,Apache,3.51,0.32,0.63,0.0,0.0,1,3,0,0,0,18,1,0,Slovakia,1
babyclinic.sk,"GLOBAL IT, spol. s r.o.",4,3,5465,Let's Encrypt,27,89,2,1450107286,1,1,1,1,0,29405,200,Apache,3.24,0.31,0.62,0.0,0.0,1,2,0,0,0,12,0,0,Slovakia,0
tvkosice.sk,bart.sk s.r.o.,4,1,5479,Let's Encrypt,67,89,7,1364799880,1,0,1,0,0,29405,200,nginx,3.1,0.27,0.64,0.0,0.0,1,3,0,0,0,10,0,0,Slovakia,0
icecasino0.sk,Gransy s.r.o.,4,3,731,Google Trust Services,58,90,2,2890115106,2,0,0,0,0,13335,200,cloudflare,3.24,0.38,0.46,0.08,0.0,1,2,1,0,0,12,1,0,Canada,1
longchampslovensko.sk,Gransy s.r.o.,4,3,1096,Let's Encrypt,84,89,8,2665349682,1,0,0,0,0,63119,200,Apache,3.65,0.24,0.71,0.0,0.0,1,4,0,0,0,20,1,0,USA,1
columbia-slovensko.sk,Gransy s.r.o.,4,3,1096,Let's Encrypt,74,89,2,2665349645,1,0,0,0,0,63119,200,Apache,3.75,0.33,0.57,0.0,0.05,2,3,0,1,0,20,1,0,USA,1
bikepark.sk,ZONER s.r.o.,4,4,7291,DigiCert Inc,39,394,2,3653661869,1,0,0,0,0,34222,200,Apache/2.4.54 (Debian),3.03,0.27,0.64,0.0,0.0,1,2,0,0,0,10,0,0,Czechia,0
raca.sk,"Webglobe, a.s.",4,1,8035,Let's Encrypt,47,89,2,1442349703,1,1,1,0,0,5578,200,Apache,2.52,0.29,0.57,0.0,0.0,1,2,0,0,0,6,0,0,Slovakia,0
palladiumsk.sk,"WebHouse, s.r.o.",4,1,1096,Google Trust Services,80,90,2,1746214913,7,0,0,0,0,13335,403,cloudflare,3.24,0.29,0.64,0.0,0.0,2,3,0,0,0,13,0,1,Canada,1
bytca.sk,"Slovanet, a. s.",4,3,8036,Let's Encrypt,82,89,2,786820905,1,1,1,0,1,29405,200,nginx,3.0,0.25,0.62,0.0,0.0,1,2,0,0,0,7,0,0,Slovakia,0
bjklima.sk,"WebHouse, s.r.o.",4,3,6209,Let's Encrypt,37,89,1,621390515,1,1,1,0,1,51013,200,nginx/1.14.2,3.12,0.2,0.7,0.0,0.0,1,4,0,0,0,9,0,0,Slovakia,0
zivekasino.sk,Gransy s.r.o.,4,1,730,Let's Encrypt,78,89,2,1296984067,1,1,1,0,1,15685,200,Apache/2.4.25 (Debian),3.24,0.38,0.54,0.0,0.0,1,2,0,0,0,12,1,0,Czechia,1
solovairtopanky.sk,Gransy s.r.o.,4,3,1096,Google Trust Services,86,90,2,1746227201,7,0,0,0,0,13335,200,cloudflare,3.57,0.39,0.56,0.0,0.0,2,2,0,0,0,17,1,0,Canada,1
bauplus.sk,"WEBY GROUP, s.r.o.",4,2,8041,Let's Encrypt,68,89,2,786820740,1,1,1,0,1,29405,200,nginx,2.92,0.3,0.6,0.0,0.0,2,2,0,0,0,9,0,0,Slovakia,0
b4s.sk,Websupport s.r.o.,4,3,5844,Let's Encrypt,17,89,2,621391749,1,1,1,0,0,51013,200,openresty,2.25,0.0,0.67,0.17,0.0,0,2,1,0,0,5,0,0,Slovakia,0
avantgardecasino.sk,NETIM,3,3,365,Google Trust Services,49,90,1,1746223105,7,0,0,0,0,13335,200,cloudflare,3.62,0.37,0.58,0.0,0.0,1,3,0,0,0,18,1,0,Canada,1
www.studnicky.sk,EXO TECHNOLOGIES spol. s r.o.,4,3,3287,Let's Encrypt,62,89,1,1959490712,1,1,1,0,0,24940,200,nginx,3.33,0.19,0.69,0.0,0.0,1,3,0,0,0,15,0,0,Germany,0
gymshark-sk.sk,Gransy s.r.o.,4,3,1096,Let's Encrypt,80,89,8,2665349655,1,0,0,0,0,63119,200,Apache,3.13,0.14,0.71,0.0,0.07,1,3,0,1,0,13,0,1,USA,1
primarkslovensko.sk,Key-Systems GmbH,4,2,731,Let's Encrypt,88,89,2,2783395893,1,0,0,0,0,48950,200,Apache,3.54,0.26,0.68,0.0,0.0,1,4,0,0,0,18,1,0,Germany,1
bamasitie.sk,INAT s.r.o.,4,4,5114,Let's Encrypt,12,89,1,621391771,1,1,1,0,0,51013,200,openresty,3.08,0.42,0.5,0.0,0.0,2,2,0,0,0,11,0,0,Slovakia,0
mangoslovensko.sk,Gransy s.r.o.,4,3,1096,Let's Encrypt,42,89,8,2665349655,1,0,0,0,0,63119,200,Apache,3.29,0.29,0.65,0.0,0.0,1,3,0,0,0,16,1,0,USA,1
stpetrusvini.sk,Websupport s.r.o.,4,3,4025,Let's Encrypt,18,89,2,621391747,1,1,1,0,0,51013,200,openresty,3.32,0.27,0.67,0.0,0.0,1,3,0,0,0,14,0,0,Slovakia,0
imrich.sk,Websupport s.r.o.,4,1,7305,Let's Encrypt,50,89,2,3248704796,1,1,1,1,1,29405,200,nginx,2.95,0.22,0.67,0.0,0.0,1,2,0,0,0,8,0,0,Slovakia,0
nine-west.sk,Gransy s.r.o.,4,2,1096,Let's Encrypt,89,89,8,2783395847,1,0,0,0,0,48950,200,Apache,3.08,0.25,0.58,0.0,0.08,1,2,0,1,0,11,0,0,Germany,1
hotelphoenix.sk,"Webglobe, a.s.",4,3,7681,Let's Encrypt,57,89,2,3645054556,1,1,1,1,1,5578,200,nginx,3.51,0.33,0.6,0.0,0.0,2,3,0,0,0,14,0,0,Slovakia,0
koifootwearbratislava.sk,NETIM,4,3,731,ZeroSSL,32,90,2,3304375096,1,0,0,0,0,41564,403,Apache/2,3.64,0.42,0.54,0.0,0.0,2,3,0,0,0,23,1,0,Singapore,1
adidasoutletsk.sk,Gransy s.r.o.,4,4,731,Unknown,-1,-1,-1,3301231648,1,0,0,0,0,58065,200,Apache,3.34,0.35,0.59,0.0,0.0,2,3,0,0,0,16,1,1,Finland,1
najlacnejsiepodlahy.sk,Gransy s.r.o.,4,3,5466,Let's Encrypt,37,89,2,1608067882,1,1,1,0,0,24940,200,nginx/1.18.0 (Ubuntu),3.79,0.36,0.59,0.0,0.0,2,2,0,0,0,21,1,0,Finland,0
supreme-slovensko.sk,Gransy s.r.o.,3,3,365,Let's Encrypt,32,89,2,2783395863,1,0,0,0,0,48950,200,Apache,3.48,0.3,0.6,0.0,0.05,1,3,0,1,0,19,1,0,Germany,1
gelnica.sk,"WEBY GROUP, s.r.o.",4,3,8036,Let's Encrypt,81,89,2,1383588041,1,1,1,0,1,5578,200,Apache,3.32,0.3,0.6,0.0,0.0,1,2,0,0,0,9,0,0,Slovakia,0
abchotel.sk,"WEDOS Internet, a.s.",4,2,4748,Unknown,-1,-1,-1,1507710285,1,0,1,0,0,197019,200,ATS,3.46,0.27,0.64,0.0,0.0,1,3,0,0,0,10,0,0,Czechia,0
bazenovysvet.sk,"Webglobe, a.s.",4,2,7670,Let's Encrypt,13,89,2,3645054492,1,1,1,1,1,5578,200,nginx,3.51,0.33,0.6,0.0,0.0,1,2,0,0,0,14,0,0,Slovakia,0
dsi.sk,"ACTIVE 24, s.r.o.",4,3,8036,Let's Encrypt,62,89,2,521079457,1,1,1,0,1,25234,200,nginx,2.25,0.17,0.67,0.0,0.0,1,2,0,0,0,5,0,0,Czechia,0
swarovskibratislava.sk,NETIM,4,3,731,Google Trust Services,85,90,2,1746231297,7,0,0,0,0,13335,403,cloudflare,3.37,0.32,0.64,0.0,0.0,1,3,0,0,0,21,1,0,Canada,1
lunzo.sk,"WEDOS Internet, a.s.",4,2,2922,Let's Encrypt,83,89,26,3107705664,1,1,1,0,1,43541,200,nginx/1.23.0,3.0,0.25,0.62,0.0,0.0,1,2,0,0,0,7,0,0,Czechia,1
kontajnery.sk,EXO TECHNOLOGIES spol. s r.o.,4,1,8041,Let's Encrypt,86,89,2,1426773441,1,1,1,0,0,24940,200,Apache,3.39,0.31,0.62,0.0,0.0,1,2,0,0,0,12,0,0,Germany,0
skechers.sk,MarkMonitor International Limited,4,4,2922,Google Trust Services,53,90,2,2890116326,2,0,0,0,0,13335,200,cloudflare,2.66,0.18,0.73,0.0,0.0,1,2,0,0,0,10,0,0,Canada,1
bazeny-slovensko.sk,EXO TECHNOLOGIES spol. s r.o.,4,2,6575,Let's Encrypt,12,89,2,1559297297,1,1,1,0,0,29405,200,Unknown,3.58,0.32,0.58,0.0,0.05,1,3,0,1,0,18,1,0,Slovakia,0
popradskepleso.sk,"Webglobe, a.s.",4,2,7682,Let's Encrypt,37,89,2,621391772,1,1,1,0,0,51013,200,nginx,3.18,0.29,0.65,0.0,0.0,1,3,0,0,0,16,0,0,Slovakia,0
birdie.sk,BAIT s.r.o.,4,2,3652,Let's Encrypt,43,89,2,3117018318,1,1,1,0,0,58014,200,nginx,2.95,0.33,0.56,0.0,0.0,2,2,0,0,0,8,0,0,Slovakia,0
barracudaslovakia.sk,"WebCreators, s. r. o.",4,2,6575,Let's Encrypt,72,89,2,786820744,1,1,1,0,1,29405,200,nginx,3.44,0.4,0.55,0.0,0.0,2,2,0,0,0,19,1,0,Slovakia,0
hotel-karpatia.sk,"INTERNET CZ, a.s.",4,1,8035,DigiCert Inc,37,396,2,1442380298,1,1,1,0,0,5578,200,Apache,3.57,0.35,0.53,0.0,0.06,2,2,0,1,0,16,0,0,Slovakia,0
pandoranaramkyakcia.sk,Gransy s.r.o.,4,3,1096,Let's Encrypt,38,89,7,1755317466,1,0,0,0,0,48950,200,Apache,3.36,0.41,0.55,0.0,0.0,2,2,0,0,0,21,0,0,USA,1
cedecko.sk,Gransy s.r.o.,4,1,8061,Let's Encrypt,63,89,3,621391803,1,1,1,0,0,51013,200,openresty,2.72,0.3,0.6,0.0,0.0,1,2,0,0,0,9,0,0,Slovakia,0
hotelcentrum.sk,EXO TECHNOLOGIES spol. s r.o.,4,3,7670,Let's Encrypt,65,89,2,1559297387,1,1,1,0,0,29405,200,Unknown,3.64,0.27,0.67,0.0,0.0,1,3,0,0,0,14,0,0,Slovakia,0
dcshoes-slovensko.sk,Gransy s.r.o.,4,3,1096,Let's Encrypt,44,89,8,2665349691,1,0,0,0,0,63119,200,Apache,3.3,0.25,0.65,0.0,0.05,2,4,0,1,0,19,1,0,USA,1
merrellvypredaj.sk,Gransy s.r.o.,4,3,1461,Let's Encrypt,89,89,2,3304430040,1,0,0,0,0,41564,200,Apache,3.53,0.28,0.67,0.0,0.0,1,3,0,0,0,17,1,0,Slovakia,1
360googlefoto.sk,Websupport s.r.o.,3,1,730,Let's Encrypt,60,89,2,621391749,1,1,1,0,0,51013,200,openresty,3.38,0.31,0.44,0.19,0.0,2,2,3,0,0,15,0,0,Slovakia,1
balatrade.sk,"WebHouse, s.r.o.",4,3,4748,Let's Encrypt,51,89,2,1450111775,1,1,1,0,1,29405,200,Apache,3.19,0.33,0.58,0.0,0.0,1,2,0,0,0,11,0,0,Slovakia,0
babyfriendly.sk,"WebHouse, s.r.o.",2,2,365,Google Trust Services,82,90,2,2890116775,2,0,0,0,0,13335,403,cloudflare,3.64,0.33,0.6,0.0,0.0,2,3,0,0,0,14,0,0,Canada,0
autoelektrony.sk,EXO TECHNOLOGIES spol. s r.o.,4,3,4748,Let's Encrypt,44,89,2,1833606448,1,1,1,1,1,29405,200,nginx,3.5,0.44,0.5,0.0,0.0,2,3,0,0,0,15,0,0,Slovakia,1
vivaia.sk,Gransy s.r.o.,4,3,731,Let's Encrypt,84,89,2,2783395889,1,0,0,0,0,48950,200,Apache,2.5,0.44,0.44,0.0,0.0,3,2,0,0,0,8,0,0,Germany,1
bratislava.sk,Hlavné mesto Slovenskej republiky Bratislava,4,2,8401,Let's Encrypt,48,89,7,1746536169,3,1,1,0,1,13335,200,cloudflare,3.18,0.31,0.62,0.0,0.0,1,2,0,0,0,12,1,0,Canada,0
baloo.sk,"BACKBONE, s.r.o.",4,1,3287,Let's Encrypt,69,89,4,3108161680,1,1,1,0,1,201702,200,Unknown,2.75,0.38,0.5,0.0,0.0,2,2,0,0,0,7,0,0,Slovakia,0
